id;link;nama_usaha;kategori;alamat;no_telp;jenis_platform;maps
308;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
309;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
310;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
311;https://www.tokopedia.com/toko-tapis-rani-bordir;toko tapis rani bordir;Fashion Wanita;Kab. Lampung Utara;;Tokopedia;
312;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
313;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
314;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
315;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Muslim;Bandar Lampung;;Tokopedia;
316;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Muslim;Bandar Lampung;;Tokopedia;
317;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
318;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
319;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
320;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
321;https://www.tokopedia.com/indah-acc-shop;Indah Acc shop_NEW;Fashion Muslim;Metro;;Tokopedia;
322;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
323;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
324;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
325;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
326;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
327;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
328;https://www.tokopedia.com/frenita-tapis-lampung;Frenita Tapis Lampung_NEW;Fashion Wanita;Kab. Pringsewu;;Tokopedia;
329;https://www.tokopedia.com/frenita-tapis-lampung;Frenita Tapis Lampung_NEW;Fashion Wanita;Kab. Pringsewu;;Tokopedia;
330;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
331;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
332;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
333;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
334;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
335;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
336;https://www.tokopedia.com/archive--oema--163073877;-oema-;Fashion Wanita;Bandar Lampung;;Tokopedia;
337;https://www.tokopedia.com/samisutra;SAMI SUTRA;Fashion Wanita;Bandar Lampung;;Tokopedia;
338;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
339;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
340;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
341;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
342;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
343;https://www.tokopedia.com/archive--oema--163073877;-oema-;Fashion Wanita;Bandar Lampung;;Tokopedia;
344;https://www.tokopedia.com/archive--oema--163073877;-oema-;Fashion Wanita;Bandar Lampung;;Tokopedia;
345;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
346;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
347;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
348;https://www.tokopedia.com/lampung-ethnica;Lampung Ethnica_NEW;Fashion Muslim;Kab. Lampung Timur;;Tokopedia;
349;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
350;https://www.tokopedia.com/-2-372;𝗔𝘀𝗶𝗵𝗰𝗿𝗮𝗳𝘁𝗹𝗮𝗺𝗽𝘂𝗻𝗴 2;Fashion Wanita;Bandar Lampung;;Tokopedia;
351;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
352;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
353;https://www.tokopedia.com/-2-372;𝗔𝘀𝗶𝗵𝗰𝗿𝗮𝗳𝘁𝗹𝗮𝗺𝗽𝘂𝗻𝗴 2;Fashion Wanita;Bandar Lampung;;Tokopedia;
354;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
355;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
356;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
357;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
358;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
359;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
360;https://www.tokopedia.com/wr-udud-online;WR UDUD Online;Fashion Muslim;Bandar Lampung;;Tokopedia;
361;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Office & Stationery;Bandar Lampung;;Tokopedia;
362;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
363;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
364;https://www.tokopedia.com/sella-tapis;Sella Tapis;Office & Stationery;Bandar Lampung;;Tokopedia;
365;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
366;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
367;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
368;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
369;https://www.tokopedia.com/sambordir-tapis-lampung;SamBordir Tapis Lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
370;https://www.tokopedia.com/-2-372;𝗔𝘀𝗶𝗵𝗰𝗿𝗮𝗳𝘁𝗹𝗮𝗺𝗽𝘂𝗻𝗴 2;Fashion Pria;Bandar Lampung;;Tokopedia;
371;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
372;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
373;https://www.tokopedia.com/rateusinar;RateuSinar;Rumah Tangga;Kab. Lampung Timur;;Tokopedia;
374;https://www.tokopedia.com/seftia-sahwan-tapis-lampung;Seftia sahwan tapis lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
375;https://www.tokopedia.com/snailycraft;Maharani tapis lampung;Fashion Muslim;Bandar Lampung;;Tokopedia;
376;https://www.tokopedia.com/-2-372;𝗔𝘀𝗶𝗵𝗰𝗿𝗮𝗳𝘁𝗹𝗮𝗺𝗽𝘂𝗻𝗴 2;Fashion Wanita;Bandar Lampung;;Tokopedia;
377;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
378;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
379;https://www.tokopedia.com/supplier-tapis;Supplier tapis;Fashion Muslim;Kab. Pesawaran;;Tokopedia;
380;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
381;https://www.tokopedia.com/rktl;Rumah Kaos Tapis Lampung;Fashion Wanita;Metro;;Tokopedia;
382;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
383;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Muslim;Bandar Lampung;;Tokopedia;
384;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
